iter	Logloss
0	0.5573422157
1	0.4520077675
2	0.3741750144
3	0.3229634132
4	0.2839216828
5	0.249886076
6	0.2259054555
7	0.2074177956
8	0.1927540179
9	0.1818891502
10	0.1736077216
11	0.1660594036
12	0.1600622462
13	0.1558714114
14	0.1524079395
15	0.1496607347
16	0.146606894
17	0.1451872677
18	0.1432513489
19	0.1417495494
20	0.1403436586
21	0.1391337633
22	0.1380507478
23	0.1372870226
24	0.1365792126
25	0.1357197756
26	0.1351264515
27	0.1345185687
28	0.1339867263
29	0.133513546
30	0.1331275451
31	0.1327571072
32	0.1322292085
33	0.1318572025
34	0.1314921732
35	0.1311836933
36	0.1309298386
37	0.1306018358
38	0.1303364371
39	0.130117847
40	0.1297641274
41	0.129541835
42	0.129285612
43	0.1290966415
44	0.1288865859
45	0.1286115666
46	0.128395555
47	0.1282315441
48	0.1280377944
49	0.1277652067
50	0.1276331703
51	0.1274649594
52	0.127360011
53	0.1271966156
54	0.1270619744
55	0.1269141418
56	0.1267340889
57	0.1265854512
58	0.1264235692
59	0.1262395923
60	0.1259768079
61	0.1258010651
62	0.1256737131
63	0.1255363336
64	0.1253771565
65	0.1252828892
66	0.1251027116
67	0.1250224642
68	0.1248759112
69	0.1246973401
70	0.1245724292
71	0.1244348873
72	0.1242883501
73	0.1241634261
74	0.1240096286
75	0.1238735384
76	0.1237180696
77	0.1236172176
78	0.1234819711
79	0.1233683257
80	0.1232537084
81	0.1231956213
82	0.1230537029
83	0.1229651376
84	0.1228465291
85	0.1227574111
86	0.1226490554
87	0.1225528211
88	0.1224561342
89	0.1223325752
90	0.1222391704
91	0.1221343068
92	0.1220633257
93	0.1219799938
94	0.121880125
95	0.1218020465
96	0.121702534
97	0.1216064055
98	0.1214704007
99	0.1213881649
100	0.1213048083
101	0.1212193456
102	0.1211651987
103	0.1210670313
104	0.1209250677
105	0.1208344977
106	0.1207465241
107	0.1206918191
108	0.1206048457
109	0.1204967581
110	0.1203777808
111	0.1203070742
112	0.1202256405
113	0.1201204552
114	0.1200398895
115	0.1199812277
116	0.1198864144
117	0.11980637
118	0.1197430815
119	0.1196517466
120	0.1195378438
121	0.1194300368
122	0.119307796
123	0.119243323
124	0.1191646206
125	0.1191145819
126	0.1190540216
127	0.118974737
128	0.1189414661
129	0.1188330894
130	0.1187309885
131	0.118633246
132	0.1185436449
133	0.118488912
134	0.1184125604
135	0.1182939457
136	0.1182194106
137	0.1181791486
138	0.1181337362
139	0.1180699159
140	0.1179830371
141	0.1179146672
142	0.1178916029
143	0.1178142168
144	0.1177514935
145	0.1177238623
146	0.1176690971
147	0.1176104031
148	0.1175112272
149	0.1174887743
150	0.1173954416
151	0.1173059583
152	0.1172227064
153	0.1171326353
154	0.1170666612
155	0.1169565402
156	0.1169055854
157	0.1168101928
158	0.1167301635
159	0.1166150179
160	0.1165185347
161	0.1164613103
162	0.1163782856
163	0.1163194926
164	0.1162092808
165	0.1161168404
166	0.1160461274
167	0.1159543102
168	0.1158568833
169	0.1157836913
170	0.1157029661
171	0.1156119461
172	0.1155537447
173	0.1155145581
174	0.115441836
175	0.1153394691
176	0.1152881001
177	0.1151995162
178	0.1151247046
179	0.1150557037
180	0.1150073242
181	0.1149314948
182	0.1148701276
183	0.11480356
184	0.1147221126
185	0.1146288377
186	0.114561226
187	0.1144903749
188	0.1144484566
189	0.1143696156
190	0.1142909541
191	0.1141997505
192	0.1141186484
193	0.1140226625
194	0.1139586033
195	0.1138805154
196	0.113827518
197	0.1137689031
198	0.113721323
199	0.1136897109
200	0.1135828034
201	0.1135188219
202	0.1134477341
203	0.113373354
204	0.11334992
205	0.1132679989
206	0.1131927312
207	0.113149168
208	0.1130632389
209	0.1130247746
210	0.1129903265
211	0.1129448456
212	0.1128952803
213	0.112840452
214	0.1127892065
215	0.1127325501
216	0.1126877972
217	0.1126381121
218	0.1125471184
219	0.1125188358
220	0.1124312924
221	0.112335792
222	0.1122402466
223	0.1121961148
224	0.1121542205
225	0.1121300932
226	0.1120954081
227	0.1120530159
228	0.1120109358
229	0.1119499515
230	0.1118784111
231	0.111819472
232	0.1117627257
233	0.1116939138
234	0.1116522387
235	0.1116179354
236	0.1115585082
237	0.1115130527
238	0.1114745328
239	0.1114167736
240	0.1113427404
241	0.1113037963
242	0.111254832
243	0.1112357745
244	0.1111491805
245	0.1111176165
246	0.1110513717
247	0.1110028734
248	0.1109331761
249	0.1108740742
250	0.1108000885
251	0.1107553808
252	0.11071969
253	0.1106237839
254	0.110603956
255	0.1105110727
256	0.1104507242
257	0.1104017151
258	0.1103631554
259	0.1103100573
260	0.1102536688
261	0.1102082988
262	0.1101356276
263	0.110094527
264	0.1100419004
265	0.109987124
266	0.1099564904
267	0.1099173958
268	0.1098843152
269	0.1098418947
270	0.1097563622
271	0.1097058426
272	0.1096888942
273	0.1096718231
274	0.1096195954
275	0.1095448887
276	0.1094910098
277	0.1094229052
278	0.1093757532
279	0.1093299506
280	0.109311447
281	0.1092760853
282	0.1092404253
283	0.1092100307
284	0.1091762706
285	0.1091176702
286	0.1090637162
287	0.1090075292
288	0.1089864436
289	0.1089345584
290	0.1088897938
291	0.1088304519
292	0.1087851621
293	0.1087711973
294	0.1087321707
295	0.1086653369
296	0.1086021073
297	0.1085494499
298	0.1085072997
299	0.1084354994
300	0.1083907472
301	0.1083490386
302	0.1083031213
303	0.1082716002
304	0.1082330525
305	0.1081714311
306	0.1081594174
307	0.1081314643
308	0.1080672381
309	0.1080293021
310	0.1079729917
311	0.1079309593
312	0.1078831815
313	0.1078499718
314	0.1078214276
315	0.107779545
316	0.107712184
317	0.1076620611
318	0.1076369733
319	0.1075904392
320	0.1075331135
321	0.1075162424
322	0.107467345
323	0.1074047556
324	0.1073668383
325	0.1073252895
326	0.1072704662
327	0.1071962052
328	0.1071705765
329	0.1071431473
330	0.1070473384
331	0.1070273251
332	0.1069915829
333	0.1069496621
334	0.1068720649
335	0.1068154217
336	0.1067561103
337	0.1067078019
338	0.1066190111
339	0.1065657655
340	0.1065144308
341	0.1064474577
342	0.1064014907
343	0.1063655136
344	0.1063276103
345	0.1062946967
346	0.1062283441
347	0.1061925253
348	0.1061500596
349	0.1061111807
350	0.1060869096
351	0.1060234158
352	0.1059601185
353	0.1059343484
354	0.1059083653
355	0.1058759761
356	0.105818129
357	0.1057808521
358	0.1057226071
359	0.1056752566
360	0.1056409341
361	0.1056155311
362	0.1055845235
363	0.1055470407
364	0.1054862164
365	0.1054358011
366	0.1053816411
367	0.1053469648
368	0.1053164322
369	0.1052541691
370	0.1052259838
371	0.1051818617
372	0.1050969571
373	0.1050719608
374	0.1050504629
375	0.1050049692
376	0.1049667611
377	0.1049374665
378	0.1048976332
379	0.1048431871
380	0.1047957418
381	0.1047467736
382	0.1047039894
383	0.1046623461
384	0.1046424398
385	0.1045713149
386	0.1045249712
387	0.1045010561
388	0.1044629151
389	0.1044500264
390	0.104389634
391	0.1043527783
392	0.1043279847
393	0.1042616067
394	0.1042142649
395	0.1041834523
396	0.1041345065
397	0.1040646727
398	0.1040169028
399	0.1039621849
400	0.1039148795
401	0.1038578356
402	0.1038248732
403	0.103784701
404	0.1037227398
405	0.103696404
406	0.1036328289
407	0.1035873475
408	0.1035308881
409	0.1034993773
410	0.1034437971
411	0.1033398913
412	0.103292426
413	0.1032672253
414	0.1032110903
415	0.103160108
416	0.1031315681
417	0.103059143
418	0.1030272579
419	0.1029614685
420	0.102910167
421	0.1028754435
422	0.1028209088
423	0.1027650195
424	0.1027298948
425	0.102690444
426	0.1026476593
427	0.1025898713
428	0.1025431739
429	0.1024997309
430	0.1024531654
431	0.1023991193
432	0.1023450189
433	0.1022894097
434	0.1022450525
435	0.1021852188
436	0.1021586962
437	0.1021014812
438	0.1020738172
439	0.1020496452
440	0.1020004371
441	0.1019507432
442	0.1019025762
443	0.1018558076
444	0.1018150041
445	0.101764187
446	0.1017019632
447	0.1016482131
448	0.10161143
449	0.1015632017
450	0.1015128551
451	0.1014747262
452	0.1014343981
453	0.1014142108
454	0.1013675359
455	0.1013090374
456	0.1012469178
457	0.1012167181
458	0.1011702581
459	0.1011437149
460	0.1010811695
461	0.1010467779
462	0.1010093443
463	0.1010045161
464	0.1009679363
465	0.1009415847
466	0.1009091563
467	0.1008667172
468	0.1008147767
469	0.1007959792
470	0.1007610015
471	0.1007499304
472	0.1007029261
473	0.1006656381
474	0.1006389884
475	0.1005787173
476	0.1005349258
477	0.1004995658
478	0.1004705916
479	0.1004362497
480	0.1003805427
481	0.1003433937
482	0.1003321824
483	0.1002835638
484	0.1002379514
485	0.100193199
486	0.1001499287
487	0.1001048314
488	0.1000687117
489	0.1000001729
490	0.09994492486
491	0.09990994433
492	0.09985832647
493	0.09982387791
494	0.09977728963
495	0.09974982365
496	0.09969017235
497	0.09965638918
498	0.09962157811
499	0.09955921307
500	0.09950479853
501	0.09946792567
502	0.09939755172
503	0.09934589877
504	0.0992947533
505	0.09925528489
506	0.09920519245
507	0.0991637075
508	0.0990865083
509	0.09902273489
510	0.09899587589
511	0.0989771488
512	0.09889478994
513	0.09884985792
514	0.09881008247
515	0.0987800812
516	0.09873323024
517	0.09867217926
518	0.09863344822
519	0.09860561539
520	0.09857067461
521	0.09854678654
522	0.09848676106
523	0.09843345212
524	0.09839235589
525	0.09838503158
526	0.09835719969
527	0.09832340422
528	0.09831110383
529	0.09828397658
530	0.0982218214
531	0.09817000276
532	0.09813706226
533	0.09811796239
534	0.09807581717
535	0.09802826481
536	0.09799621754
537	0.09795573368
538	0.0979298674
539	0.0978708964
540	0.09780550338
541	0.09775870804
542	0.09770463157
543	0.09766212137
544	0.09763256461
545	0.09758458136
546	0.0975761539
547	0.09753038824
548	0.09746982863
549	0.0974457687
550	0.097400095
551	0.09736860953
552	0.09732861094
553	0.09730658786
554	0.09727831031
555	0.09724598339
556	0.09719553634
557	0.09715111233
