iter	Passed	Remaining
0	9	96273
1	17	89324
2	25	84834
3	34	85664
4	44	88961
5	54	90849
6	64	92457
7	73	91596
8	82	91638
9	90	90089
10	99	89919
11	108	89926
12	116	89769
13	123	88435
14	132	87902
15	139	87179
16	149	87622
17	156	86963
18	165	86818
19	174	86900
20	182	86799
21	191	86946
22	199	86718
23	208	86686
24	216	86542
25	224	86283
26	234	86603
27	242	86532
28	252	86904
29	261	86806
30	268	86502
31	277	86333
32	285	86087
33	292	85875
34	302	86170
35	311	86135
36	318	85782
37	326	85593
38	334	85545
39	343	85481
40	352	85663
41	360	85475
42	368	85378
43	376	85141
44	384	85006
45	392	84999
46	409	86706
47	418	86754
48	425	86472
49	434	86468
50	463	90417
51	470	90081
52	478	89766
53	485	89493
54	503	90952
55	511	90831
56	519	90580
57	526	90241
58	535	90188
59	543	90117
60	552	90009
61	561	90013
62	570	90007
63	579	89910
64	586	89687
65	595	89604
66	605	89781
67	615	89874
68	623	89685
69	631	89518
70	639	89476
71	649	89543
72	656	89304
73	666	89355
74	674	89262
75	683	89254
76	691	89157
77	700	89084
78	710	89275
79	718	89142
80	727	89100
81	736	89055
82	745	89083
83	754	89070
84	763	89081
85	772	89034
86	782	89128
87	791	89123
88	799	89086
89	811	89301
90	819	89278
91	831	89504
92	840	89554
93	850	89576
94	858	89550
95	867	89476
96	876	89507
97	885	89456
98	894	89420
99	902	89391
100	913	89535
101	921	89455
102	930	89441
103	940	89491
104	949	89519
105	959	89521
106	967	89416
107	975	89392
108	985	89430
109	994	89444
110	1003	89371
111	1011	89324
112	1020	89247
113	1028	89202
114	1036	89126
115	1045	89111
116	1054	89038
117	1062	88975
118	1070	88909
119	1078	88797
120	1086	88700
121	1094	88596
122	1101	88488
123	1109	88388
124	1117	88308
125	1127	88337
126	1136	88390
127	1145	88323
128	1153	88275
129	1162	88242
130	1170	88172
131	1178	88109
132	1187	88069
133	1196	88061
134	1204	88052
135	1212	87976
136	1221	87970
137	1230	87954
138	1239	87940
139	1247	87886
140	1256	87889
141	1265	87841
142	1273	87797
143	1281	87715
144	1289	87667
145	1297	87602
146	1306	87545
147	1313	87440
148	1322	87438
149	1332	87531
150	1342	87550
151	1351	87554
152	1360	87552
153	1368	87512
154	1377	87470
155	1385	87422
156	1394	87411
157	1402	87375
158	1411	87349
159	1419	87304
160	1427	87243
161	1436	87226
162	1444	87192
163	1454	87259
164	1462	87189
165	1471	87165
166	1478	87072
167	1487	87035
168	1495	86967
169	1502	86901
170	1510	86835
171	1520	86861
172	1528	86815
173	1537	86798
174	1545	86774
175	1553	86722
176	1562	86700
177	1571	86703
178	1579	86640
179	1588	86653
180	1597	86657
181	1606	86659
182	1615	86675
183	1625	86721
184	1634	86718
185	1643	86704
186	1652	86728
187	1660	86688
188	1670	86699
189	1678	86668
190	1687	86663
191	1696	86674
192	1706	86731
193	1715	86725
194	1725	86745
195	1734	86754
196	1743	86750
197	1777	87975
198	1797	88548
199	1808	88625
200	1818	88629
201	1827	88641
202	1836	88647
203	1853	89027
204	1866	89175
205	1874	89117
206	1883	89101
207	1891	89060
208	1901	89061
209	1910	89050
210	1920	89077
211	1927	89007
212	1937	89029
213	1946	89018
214	1955	89011
215	1965	89012
216	1974	88999
217	1982	88960
218	1991	88931
219	2000	88928
220	2009	88898
221	2019	88947
222	2027	88886
223	2037	88910
224	2046	88911
225	2054	88872
226	2065	88914
227	2073	88885
228	2082	88855
229	2091	88864
230	2102	88913
231	2111	88885
232	2120	88888
233	2128	88846
234	2137	88823
235	2145	88773
236	2153	88717
237	2163	88723
238	2171	88691
239	2180	88675
240	2188	88624
241	2196	88583
242	2205	88555
243	2214	88553
244	2223	88517
245	2231	88467
246	2239	88438
247	2248	88401
248	2256	88369
249	2265	88372
250	2274	88342
251	2284	88351
252	2292	88337
253	2303	88368
254	2311	88345
255	2321	88364
256	2330	88362
257	2339	88330
258	2347	88305
259	2356	88273
260	2364	88242
261	2373	88207
262	2383	88245
263	2392	88229
264	2402	88264
265	2411	88261
266	2420	88235
267	2429	88239
268	2438	88203
269	2446	88158
270	2454	88111
271	2462	88066
272	2470	88022
273	2479	88003
274	2487	87981
275	2496	87964
276	2503	87892
277	2512	87879
278	2521	87864
279	2529	87824
280	2538	87787
281	2547	87774
282	2555	87746
283	2564	87728
284	2572	87686
285	2581	87672
286	2591	87692
287	2599	87656
288	2607	87627
289	2615	87574
290	2624	87566
291	2632	87529
292	2641	87503
293	2648	87451
294	2657	87419
295	2665	87391
296	2673	87356
297	2682	87319
298	2690	87302
299	2699	87281
300	2707	87248
301	2718	87302
302	2726	87270
303	2734	87220
304	2742	87187
305	2752	87184
306	2761	87181
307	2768	87113
308	2777	87099
309	2786	87095
310	2795	87087
311	2802	87036
312	2811	87016
313	2819	86967
314	2828	86973
315	2837	86943
316	2845	86917
317	2853	86891
318	2862	86863
319	2870	86832
320	2879	86821
321	2887	86790
322	2895	86749
323	2903	86711
324	2913	86723
325	2923	86740
326	2931	86704
327	2940	86698
328	2948	86679
329	2958	86682
330	2966	86664
331	2975	86649
332	2983	86618
333	2992	86603
334	3000	86573
335	3009	86564
336	3018	86540
337	3027	86534
338	3035	86494
339	3043	86473
340	3051	86432
341	3060	86416
342	3068	86398
343	3078	86410
344	3086	86390
345	3094	86355
346	3103	86345
347	3113	86355
348	3122	86350
349	3130	86311
350	3138	86285
351	3146	86255
352	3155	86229
353	3163	86207
354	3172	86180
355	3180	86154
356	3189	86152
357	3197	86123
358	3205	86091
359	3214	86077
360	3223	86065
361	3231	86036
362	3239	86012
363	3247	85979
364	3256	85950
365	3263	85910
366	3273	85932
367	3282	85903
368	3290	85883
369	3298	85837
370	3307	85837
371	3316	85825
372	3324	85809
373	3331	85758
374	3340	85741
375	3349	85730
376	3358	85728
377	3366	85689
378	3374	85667
379	3382	85636
380	3391	85617
381	3399	85594
382	3407	85560
383	3416	85564
384	3425	85548
385	3434	85533
386	3442	85508
387	3451	85504
388	3459	85476
389	3467	85436
390	3475	85405
391	3484	85395
392	3492	85377
393	3501	85378
394	3512	85400
395	3520	85390
396	3528	85354
397	3537	85332
398	3546	85326
399	3554	85314
400	3563	85290
401	3572	85289
402	3580	85259
403	3589	85265
404	3597	85241
405	3606	85226
406	3616	85232
407	3624	85213
408	3633	85201
409	3641	85170
410	3649	85153
411	3657	85120
412	3666	85109
413	3674	85089
414	3682	85062
415	3691	85042
416	3700	85048
417	3709	85029
418	3718	85020
419	3725	84982
420	3733	84952
421	3742	84948
422	3750	84919
423	3758	84894
424	3766	84866
425	3775	84852
426	3785	84872
427	3793	84850
428	3803	84847
429	3810	84810
430	3820	84813
431	3828	84797
432	3836	84776
433	3845	84752
434	3853	84735
435	3861	84701
436	3869	84684
437	3878	84668
438	3886	84643
439	3894	84625
440	3905	84644
441	3914	84642
442	3921	84609
443	3930	84584
444	3938	84558
445	3946	84542
446	3954	84512
447	3962	84486
448	3970	84461
449	3979	84452
450	3987	84423
451	3995	84401
452	4003	84379
453	4012	84365
454	4019	84325
455	4028	84309
456	4036	84296
457	4044	84273
458	4053	84268
459	4061	84240
460	4070	84233
461	4080	84234
462	4088	84214
463	4097	84202
464	4107	84233
465	4117	84231
466	4125	84214
467	4134	84206
468	4143	84203
469	4152	84189
470	4161	84184
471	4169	84162
472	4178	84162
473	4187	84150
474	4195	84126
475	4203	84106
476	4212	84098
477	4220	84082
478	4230	84092
479	4239	84081
480	4248	84072
481	4256	84060
482	4266	84065
483	4278	84120
484	4287	84115
485	4320	84579
486	4329	84562
487	4336	84535
488	4345	84511
489	4352	84482
490	4361	84466
491	4369	84440
492	4378	84443
493	4387	84420
494	4396	84415
495	4404	84398
496	4413	84392
497	4422	84376
498	4430	84359
499	4438	84336
500	4446	84309
501	4454	84280
502	4462	84259
503	4470	84234
504	4479	84226
505	4487	84201
506	4497	84208
507	4505	84193
508	4515	84188
509	4522	84149
510	4530	84134
511	4539	84119
512	4548	84108
513	4556	84086
514	4564	84073
515	4573	84056
516	4582	84056
517	4591	84051
518	4600	84032
519	4615	84146
520	4624	84145
521	4633	84122
522	4643	84143
523	4652	84131
524	4659	84086
525	4668	84083
526	4677	84085
527	4686	84065
528	4696	84077
529	4704	84056
530	4714	84062
531	4722	84040
532	4731	84030
533	4739	84014
534	4748	84001
535	4756	83981
536	4765	83981
537	4774	83975
538	4783	83961
539	4791	83946
540	4800	83936
541	4809	83933
542	4819	83930
543	4827	83912
544	4835	83895
545	4844	83888
546	4852	83855
547	4860	83840
548	4868	83813
549	4877	83800
550	4885	83779
551	4896	83808
552	4905	83809
553	4913	83770
554	4921	83750
555	4931	83764
556	4940	83756
557	4948	83734
558	4956	83713
559	4965	83701
560	4973	83687
561	4982	83676
562	4991	83670
563	4998	83632
564	5008	83634
565	5016	83613
566	5025	83606
567	5033	83583
568	5041	83555
569	5049	83532
570	5057	83520
571	5065	83498
572	5074	83488
573	5082	83458
574	5092	83475
575	5103	83504
576	5111	83480
577	5120	83464
578	5130	83487
579	5139	83476
580	5148	83462
581	5156	83441
582	5164	83421
583	5173	83411
584	5181	83392
585	5191	83400
586	5200	83386
587	5208	83366
588	5216	83344
589	5225	83345
590	5233	83327
591	5241	83301
592	5249	83280
593	5258	83265
594	5267	83254
595	5275	83235
596	5283	83215
597	5294	83237
598	5303	83236
599	5311	83220
600	5320	83212
601	5328	83190
602	5337	83173
603	5345	83161
604	5354	83155
605	5363	83143
606	5372	83131
607	5380	83114
608	5389	83106
609	5398	83099
610	5407	83098
611	5416	83084
612	5424	83062
613	5433	83053
614	5441	83034
615	5449	83016
616	5457	82992
617	5465	82976
618	5474	82962
619	5481	82937
620	5491	82934
621	5499	82922
622	5508	82914
623	5517	82900
624	5525	82880
625	5533	82861
626	5542	82854
627	5552	82857
628	5560	82840
629	5570	82848
630	5578	82836
631	5587	82825
632	5595	82807
633	5605	82813
634	5614	82796
635	5622	82774
636	5630	82754
637	5638	82743
638	5646	82719
639	5655	82704
640	5663	82687
641	5671	82676
642	5680	82658
643	5688	82642
644	5697	82633
645	5706	82628
646	5714	82615
647	5723	82595
648	5731	82577
649	5739	82567
650	5748	82550
651	5757	82551
652	5766	82538
653	5774	82520
654	5783	82517
655	5792	82503
656	5801	82504
657	5809	82484
658	5818	82471
659	5825	82445
660	5833	82425
661	5842	82406
662	5850	82385
663	5858	82368
664	5866	82349
665	5874	82335
666	5883	82331
667	5893	82333
668	5903	82342
669	5911	82313
670	5919	82294
671	5927	82278
672	5936	82268
673	5944	82249
674	5953	82245
675	5962	82239
676	5971	82229
677	5979	82216
678	5987	82197
679	5996	82191
680	6005	82175
681	6014	82172
682	6022	82155
683	6031	82143
684	6038	82118
685	6046	82101
686	6055	82088
687	6064	82078
688	6072	82066
689	6082	82063
690	6090	82054
691	6100	82057
692	6109	82044
693	6118	82042
694	6126	82029
695	6135	82015
696	6143	81993
697	6152	81987
698	6161	81990
